"Rk","Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","Gls...12","Ast...13","G+A...14","G-PK...15","PK","PKatt","CrdY","CrdR","xG...20","npxG...21","xAG...22","npxG+xAG...23","PrgC","PrgP","PrgR","Gls...27","Ast...28","G+A...29","G-PK...30","G+A-PK","xG...32","xAG...33","xG+xAG","npxG...35","npxG+xAG...36","Matches","logAge"
"388","Sergio Rico","es ESP","GK","Fulham",24,"1993","29","29",2610,"29","0","0","0","0","0","0","1","0","0","0","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.17805383034795
"389","Matt Ritchie","sct SCO","DF,MF","Newcastle Utd",28,"1989","36","35",2928,"32.5","2","8","10","1","1","2","9","0","5.0999999999999996","3.6","5.3","8.9","56","83","131","0.06","0.25","0.31","0.03","0.28000000000000003","0.16","0.16","0.32","0.11","0.27","Matches",3.3322045101752
"390","Andrew Robertson","sct SCO","DF","Liverpool",24,"1994","36","36",3216,"35.700000000000003","0","11","11","0","0","0","4","0","0.7","0.7","7.2","7.9","124","244","263","0","0.31","0.31","0","0.31","0.02","0.2","0.22","0.02","0.22","Matches",3.17805383034795
"391","Marcos Rojo","ar ARG","DF","Manchester Utd",28,"1990","5","2",212,"2.4","0","0","0","0","0","0","2","0","0.2","0.2","0","0.2","1","8","3","0","0","0","0","0","0.1","0","0.1","0.1","0.1","Matches",3.3322045101752
"392","Oriol Romeu","es ESP","MF","Southampton",26,"1991","31","25",2136,"23.7","1","0","1","1","0","0","11","0","0.9","0.9","1","1.9","19","147","10","0.04","0","0.04","0.04","0.04","0.04","0.04","0.08","0.04","0.08","Matches",3.25809653802148
"393","Salomón Rondón","ve VEN","FW","Newcastle Utd",28,"1989","32","30",2603,"28.9","11","7","18","11","0","0","1","0","10.4","10.4","3","13.4","38","46","154","0.38","0.24","0.62","0.38","0.62","0.36","0.1","0.46","0.36","0.46","Matches",3.3322045101752
"394","Danny Rose","eng ENG","DF","Tottenham",28,"1990","26","20",1798,"20","0","3","3","0","0","0","5","0","0.7","0.7","2.2000000000000002","2.9","83","99","141","0","0.15","0.15","0","0.15","0.04","0.11","0.15","0.04","0.15","Matches",3.3322045101752
"395","Aaron Rowe","eng ENG","FW","Huddersfield",17,"2000","2","1",69,"0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","Matches",2.83321334405622
"396","John Ruddy","eng ENG","GK","Wolves",31,"1986","1","1",90,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.43398720448515
"397","Antonio Rüdiger","de GER","DF","Chelsea",25,"1993","33","33",2871,"31.9","1","0","1","1","0","0","7","0","2.5","2.5","0.6","3.1","21","174","1","0.03","0","0.03","0.03","0.03","0.08","0.02","0.1","0.08","0.1","Matches",3.2188758248682
"398","Mathew Ryan","au AUS","GK","Brighton",26,"1992","34","34",3060,"34","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.25809653802148
"399","Abdelhamid Sabiri","ma MAR","FW","Huddersfield",21,"1996","2","1",48,"0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","Matches",3.04452243772342
"400","Romain Saïss","ma MAR","MF,DF","Wolves",28,"1990","19","12",1149,"12.8","2","0","2","2","0","0","7","0","1.4","1.4","0.6","2","9","66","8","0.16","0","0.16","0.16","0.16","0.11","0.05","0.16","0.11","0.16","Matches",3.3322045101752
"401","Bukayo Saka","eng ENG","FW","Arsenal",16,"2001","1","0",8,"0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",2.77258872223978
"402","Mamadou Sakho","fr FRA","DF","Crystal Palace",28,"1990","27","27",2416,"26.8","0","0","0","0","0","0","2","0","0.4","0.4","0.2","0.6","8","91","3","0","0","0","0","0","0.02","0.01","0.02","0.02","0.02","Matches",3.3322045101752
"403","Bakary Sako","ml MLI","FW","Crystal Palace",30,"1988","4","0",29,"0.3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","Matches",3.40119738166216
"404","Mohamed Salah","eg EGY","FW","Liverpool",26,"1992","38","37",3250,"36.1","22","8","30","19","3","3","1","0","20.2","17.899999999999999","9.4","27.2","131","127","429","0.61","0.22","0.83","0.53","0.75","0.56000000000000005","0.26","0.82","0.49","0.75","Matches",3.25809653802148
"405","Alexis Sánchez","cl CHI","FW,MF","Manchester Utd",29,"1988","20","9",880,"9.8000000000000007","1","3","4","1","0","0","3","0","1.5","1.5","3","4.5","37","50","89","0.1","0.31","0.41","0.1","0.41","0.15","0.31","0.46","0.15","0.46","Matches",3.36729582998647
